"gene"	"ark1B"	"ark2B"	"blrB"	"polB"	"revB"	"pcnB"
"Potri.001G035600"	1	1	1	0	"0"	"0"
"Potri.001G035700"	1	1	1	1	"0"	"0"
"Potri.001G035800"	1	0	0	0	"0"	"0"
"Potri.001G035900"	1	0	0	0	"0"	"0"
"Potri.001G036000"	1	0	0	0	"0"	"0"
"Potri.001G036100"	1	1	0	0	"0"	"0"
"Potri.001G036200"	1	1	0	0	"0"	"0"
"Potri.001G036300"	0	0	0	0	"0"	"0"
"Potri.001G036400"	1	1	0	0	"0"	"0"
"Potri.001G036500"	1	0	0	0	"0"	"0"
"Potri.001G036600"	0	0	0	0	"0"	"0"
"Potri.001G036700"	0	0	0	0	"0"	"0"
"Potri.001G036800"	0	0	0	0	"0"	"0"
"Potri.001G036900"	0	0	0	0	"0"	"0"
"Potri.001G037000"	1	1	0	0	"0"	"0"
"Potri.001G037100"	1	1	0	0	"0"	"0"
"Potri.001G037200"	1	0	1	1	"0"	"0"
"Potri.001G037300"	0	0	0	0	"0"	"0"
"Potri.001G037400"	0	0	0	0	"0"	"0"
"Potri.001G037500"	1	0	1	0	"0"	"0"
"Potri.001G037600"	1	0	1	0	"0"	"0"
"Potri.001G037700"	1	0	1	1	"0"	"0"
"Potri.001G037800"	0	0	0	0	"0"	"0"
"Potri.001G037900"	0	0	0	0	"0"	"0"
"Potri.001G038000"	1	0	0	0	"0"	"0"
"Potri.001G038100"	1	1	0	0	"0"	"0"
"Potri.001G038200"	0	0	0	0	"0"	"0"
"Potri.001G038300"	0	0	0	0	"0"	"1"
"Potri.001G038400"	0	0	0	0	"0"	"0"
"Potri.001G038500"	0	0	0	0	"0"	"0"
"Potri.001G038600"	0	0	0	0	"0"	"0"
"Potri.001G038700"	0	0	0	0	"0"	"0"
"Potri.001G038800"	0	0	0	0	"0"	"0"
"Potri.001G038900"	0	0	0	0	"0"	"0"
"Potri.001G039000"	0	0	0	0	"0"	"0"
"Potri.001G039100"	0	0	0	0	"0"	"0"
"Potri.001G039200"	0	0	0	0	"0"	"0"
"Potri.001G039300"	0	0	0	0	"0"	"0"
"Potri.001G039400"	0	0	0	0	"0"	"0"
"Potri.001G039500"	0	0	0	0	"0"	"0"
"Potri.001G039600"	0	0	0	0	"0"	"0"
"Potri.001G039700"	0	0	0	0	"0"	"0"
"Potri.001G039800"	0	0	0	0	"0"	"0"
"Potri.001G039900"	0	0	0	0	"0"	"0"
"Potri.001G040000"	0	0	0	0	"0"	"0"
"Potri.001G040100"	0	0	0	0	"0"	"0"
"Potri.001G040200"	0	0	0	0	"0"	"0"
"Potri.001G040300"	0	0	0	0	"0"	"0"
"Potri.001G040400"	0	0	0	0	"0"	"0"
"Potri.001G040500"	0	0	0	0	"0"	"0"
"Potri.001G040600"	0	0	0	0	"0"	"0"
"Potri.001G040700"	0	0	0	0	"0"	"0"
"Potri.001G040800"	0	0	0	0	"0"	"0"
"Potri.001G040900"	0	0	0	0	"0"	"0"
"Potri.001G041000"	0	0	0	0	"0"	"0"
"Potri.001G041100"	0	0	0	0	"0"	"0"
"Potri.001G041200"	0	0	1	1	"0"	"0"
"Potri.001G041300"	0	0	0	0	"0"	"0"
"Potri.001G041400"	0	0	1	1	"0"	"0"
"Potri.001G041500"	0	0	1	0	"0"	"0"
"Potri.001G041600"	1	0	0	0	"0"	"0"
